Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Assembled PCB (WITH COMPONENTS)","TO MAKE THE CARD WORK",1,12.45,"https://jlcpcb.com/","JLCPCB"
"PCB","the PCB",1,2.00,"https://jlcpcb.com/","JLCPCB"
